Plan,Week,Distance,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"Hal Higdon 50 Miles/Week Plan",Training Week 1,26 mi,"2025-08-25: 3 mi run","2025-08-26: 5 mi run","2025-08-27: 3 mi run","2025-08-28: 3 x hill","2025-08-29: Rest","2025-08-30: 5 mi pace","2025-08-31: 10 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 2,27 mi,"2025-09-01: 3 mi run","2025-09-02: 5 mi run","2025-09-03: 3 mi run","2025-09-04: 30 tempo","2025-09-05: Rest","2025-09-06: 5 mi pace","2025-09-07: 11 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 3,26 mi,"2025-09-08: 3 mi run","2025-09-09: 6 mi run","2025-09-10: 3 mi run","2025-09-11: 4 x 800","2025-09-12: Rest","2025-09-13: 6 mi pace","2025-09-14: 8 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 4,31 mi,"2025-09-15: 3 mi run","2025-09-16: 6 mi run","2025-09-17: 3 mi run","2025-09-18: 4 x hill","2025-09-19: Rest","2025-09-20: 6 mi pace","2025-09-21: 13 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 5,34 mi,"2025-09-22: 3 mi run","2025-09-23: 7 mi run","2025-09-24: 3 mi run","2025-09-25: 35 tempo","2025-09-26: Rest","2025-09-27: 7 mi run","2025-09-28: 14 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 6,30 mi,"2025-09-29: 3 mi run","2025-09-30: 7 mi run","2025-10-01: 3 mi run","2025-10-02: 5 x 800","2025-10-03: Rest","2025-10-04: 7 mi pace","2025-10-05: 10 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 7,39 mi,"2025-10-06: 3 mi run","2025-10-07: 8 mi run","2025-10-08: 4 mi run","2025-10-09: 5 x hill","2025-10-10: Rest","2025-10-11: 8 mi pace","2025-10-12: 16 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 8,40 mi,"2025-10-13: 3 mi run","2025-10-14: 8 mi run","2025-10-15: 4 mi run","2025-10-16: 40 tempo","2025-10-17: Rest","2025-10-18: 8 mi run","2025-10-19: 17 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 9,29.1 mi,"2025-10-20: 3 mi run","2025-10-21: 9 mi run","2025-10-22: 4 mi run","2025-10-23: 6 x 800","2025-10-24: Rest","2025-10-25: Rest","2025-10-26: Half Marathon (13.1 mi)"
"Hal Higdon 50 Miles/Week Plan",Training Week 10,44 mi,"2025-10-27: 3 mi run","2025-10-28: 9 mi run","2025-10-29: 4 mi run","2025-10-30: 6 x hill","2025-10-31: Rest","2025-11-01: 9 mi pace","2025-11-02: 19 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 11,49 mi,"2025-11-03: 4 mi run","2025-11-04: 10 mi run","2025-11-05: 5 mi run","2025-11-06: 45 tempo","2025-11-07: Rest","2025-11-08: 10 mi run","2025-11-09: 20 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 12,33 mi,"2025-11-10: 4 mi run","2025-11-11: 6 mi run","2025-11-12: 5 mi run","2025-11-13: 7 x 800","2025-11-14: Rest","2025-11-15: 6 mi pace","2025-11-16: 12 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 13,49 mi,"2025-11-17: 4 mi run","2025-11-18: 10 mi run","2025-11-19: 5 mi run","2025-11-20: 7 x hill","2025-11-21: Rest","2025-11-22: 10 mi pace","2025-11-23: 20 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 14,34 mi,"2025-11-24: 5 mi run","2025-11-25: 6 mi run","2025-11-26: 5 mi run","2025-11-27: 45 tempo","2025-11-28: Rest","2025-11-29: 6 mi run","2025-11-30: 12 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 15,50 mi,"2025-12-01: 5 mi run","2025-12-02: 10 mi run","2025-12-03: 5 mi run","2025-12-04: 8 x 800","2025-12-05: Rest","2025-12-06: 10 mi pace","2025-12-07: 20 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 16,34 mi,"2025-12-08: 5 mi run","2025-12-09: 8 mi run","2025-12-10: 5 mi run","2025-12-11: 6 x hill","2025-12-12: Rest","2025-12-13: 4 mi pace","2025-12-14: 12 mi"
"Hal Higdon 50 Miles/Week Plan",Training Week 17,26 mi,"2025-12-15: 4 mi run","2025-12-16: 6 mi run","2025-12-17: 4 mi run","2025-12-18: 30 tempo","2025-12-19: Rest","2025-12-20: 4 mi run","2025-12-21: 8 mi"
"Hal Higdon 50 Miles/Week Plan",Final Training Week!,33.2 mi,"2025-12-22: 3 mi run","2025-12-23: 4 x 400","2025-12-24: 2 mi run","2025-12-25: Rest","2025-12-26: Rest","2025-12-27: 2 mi run","2025-12-28: Marathon (26.2 mi)"
